,brandnm,goodsnm,USER,reg_date,order_date,p_type,sub_type,app_yn,4days,7days
0,Gucci,flower dionysus shoulder bag beige,a161237,2019-12-06,2021-01-15,7days,BA,Y,46300,56300
1,Gucci,dionysus cross bag,a1143028,2021-01-14,2021-01-15,4days,BA,Y,46300,56300
2,Louis Vuitton,twist monogram patent shoulder bag black,a1140216,2020-12-28,2021-01-15,7days,BA,Y,46580,56580
3,Tory Burch,flower ethnic pattern cross bag white,a1141255,2021-01-05,2021-01-15,4days,BA,Y,33620,43620
4,Chloe,faye small bag black,a1129386,2020-11-09,2021-01-15,4days,BA,Y,35150,45150
5,Prada,logo hobo bag black,a1143143,2021-01-15,2021-01-15,4days,BA,Y,39000,49000
6,Gucci,microssima mini cross body bag pink,a1142921,2021-01-14,2021-01-14,4days,BA,Y,46300,56300
7,Fendi,stripe pattern two way bucket bag brown,a1142679,2021-01-13,2021-01-14,7days,BA,Y,47820,57820
8,Fendi,two way bucket bag white,a192991,2020-04-02,2021-01-14,7days,BA,Y,47820,57820
9,Prada,quilted cross body bag black,a1142924,2021-01-14,2021-01-14,4days,BA,Y,39000,49000
10,Bottega Veneta,intrecciato clutch bag black 2,a1142841,2021-01-13,2021-01-14,4days,BA,Y,38170,48170
11,Gucci,microssima emily mini bag black,a1142736,2021-01-13,2021-01-13,7days,BA,Y,46300,56300
12,Louis Vuitton,monogram shoulder bag black,a164734,2019-12-13,2021-01-13,4days,BA,Y,46580,56580
13,Gucci,mamont chain bag black,a1128095,2020-11-01,2021-01-13,4days,BA,Y,46300,56300
14,Celine,luggage bag black,a1133560,2020-11-27,2021-01-12,7days,BA,Y,45500,55500
15,Christian Dior,letter pointed tote bag small,a182494,2020-02-14,2021-01-10,7days,BA,Y,45670,55670
16,Biker Starlet,classic two way bag black,a1140737,2021-01-01,2021-01-08,4days,BA,Y,34000,44000
17,Givenchy,givenchy obsedia medium bag,a199351,2020-05-03,2021-01-06,7days,BA,Y,35730,45730
18,Gucci,dionysus cross bag2,a1134530,2020-12-01,2021-01-06,7days,BA,Y,46300,56300
19,Gucci,flap cross bag grey,a1139426,2020-12-23,2021-01-06,4days,BA,Y,46300,56300
20,Vivienne Westwood,nappa clasp chain bag,a1137121,2020-12-15,2021-01-05,7days,BA,Y,34000,44000
21,Chloe,drew bag beige,a1141010,2021-01-04,2021-01-05,7days,BA,Y,35150,45150
22,Saint Laurent,quilted calfskin shoulder bag,a1139320,2020-12-22,2021-01-05,7days,BA,Y,45670,55670
23,Christian Dior,oblique jacquard shoulder bag,a1119528,2020-09-14,2021-01-04,4days,BA,Y,45670,55670
24,Bottega Veneta,foldover top cross bag black,a134855,2019-07-30,2021-01-04,4days,BA,Y,38170,48170
25,Prada,padding two way bag black,a1141018,2021-01-04,2021-01-04,4days,BA,Y,39000,49000
